"","x"
"1","1,3-Dihydroxyacetone"
"2","2-Hydroxyisobutyrate"
"3","2-Hydroxyphenylacetate"
"4","3-Hydromuconate"
"5","3-Hydroxykynurenine"
"6","3-Hydroxyphenylacetate"
"7","3-Methylxanthine"
"8","4-Aminohippurate"
"9","4-Hydroxy-3-methoxymandelate"
"10","4-Hydroxyphenylacetate"
"11","4-Pyridoxate"
"12","5-Hydroxyindole-3-acetate"
"13","5-Methoxysalicylate"
"14","Acetamide"
"15","Acetaminophen"
"16","Acetate"
"17","Acetone"
"18","Acetylsalicylate"
"19","Cis-aconitate"
"20","Creatinine"
"21","Dimethylamine"
"22","Dimethyl sulfone"
"23","Ethylene glycol"
"24","Guanidoacetate"
"25","Glycolate"
"26","Glycine"
"27","Glucarate"
"28","Ferulate"
"29","Galactarate"
"30","Malonate"
"31","Methanol"
"32","Methylamine"
"33","Methylguanidine"
"34","lactate"
"35","succinate"
"36","Trimethylamine N-oxide"
"37","Thymine"
"38","Pyruvate"
"39","Hippurate"
"40","Indole-3-acetate"
"41","o-Cresol"
"42","O-Phosphoserine"
"43","Vanillate"
"44","p-Cresol"
"45","Kynurenine"
"46","Nicotinurate"
"47","N-Methylhydantoin"
"48","Isopropanol"
"49","Phenylacetate"
"50","Pyridoxine"
"51","Salicylurate"
"52","trans-Aconitate"
"53","Trimethylamine"
"54","Homogentisate"
